,dateTime,level,seconds,start_time,end_time
0,2015-11-12T23:49:30.000,restless,180,2015-11-12 23:49:30,2015-11-12 23:52:30
1,2015-11-12T23:52:30.000,asleep,7440,2015-11-12 23:52:30,2015-11-13 01:56:30
2,2015-11-13T01:56:30.000,restless,60,2015-11-13 01:56:30,2015-11-13 01:57:30
3,2015-11-13T01:57:30.000,asleep,180,2015-11-13 01:57:30,2015-11-13 02:00:30
4,2015-11-13T02:00:30.000,restless,60,2015-11-13 02:00:30,2015-11-13 02:01:30
5,2015-11-13T02:01:30.000,asleep,780,2015-11-13 02:01:30,2015-11-13 02:14:30
6,2015-11-13T02:14:30.000,restless,60,2015-11-13 02:14:30,2015-11-13 02:15:30
7,2015-11-13T02:15:30.000,asleep,180,2015-11-13 02:15:30,2015-11-13 02:18:30
8,2015-11-13T02:18:30.000,restless,60,2015-11-13 02:18:30,2015-11-13 02:19:30
9,2015-11-13T02:19:30.000,asleep,360,2015-11-13 02:19:30,2015-11-13 02:25:30
10,2015-11-13T02:25:30.000,restless,60,2015-11-13 02:25:30,2015-11-13 02:26:30
11,2015-11-13T02:26:30.000,asleep,1740,2015-11-13 02:26:30,2015-11-13 02:55:30
12,2015-11-13T02:55:30.000,restless,60,2015-11-13 02:55:30,2015-11-13 02:56:30
13,2015-11-13T02:56:30.000,asleep,120,2015-11-13 02:56:30,2015-11-13 02:58:30
14,2015-11-13T02:58:30.000,restless,180,2015-11-13 02:58:30,2015-11-13 03:01:30
15,2015-11-13T03:01:30.000,asleep,480,2015-11-13 03:01:30,2015-11-13 03:09:30
16,2015-11-13T03:09:30.000,restless,240,2015-11-13 03:09:30,2015-11-13 03:13:30
17,2015-11-13T03:13:30.000,awake,120,2015-11-13 03:13:30,2015-11-13 03:15:30
18,2015-11-13T03:15:30.000,asleep,2160,2015-11-13 03:15:30,2015-11-13 03:51:30
19,2015-11-13T03:51:30.000,restless,60,2015-11-13 03:51:30,2015-11-13 03:52:30
20,2015-11-13T03:52:30.000,asleep,120,2015-11-13 03:52:30,2015-11-13 03:54:30
21,2015-11-13T03:54:30.000,restless,60,2015-11-13 03:54:30,2015-11-13 03:55:30
22,2015-11-13T03:55:30.000,asleep,2220,2015-11-13 03:55:30,2015-11-13 04:32:30
23,2015-11-13T04:32:30.000,restless,60,2015-11-13 04:32:30,2015-11-13 04:33:30
24,2015-11-13T04:33:30.000,asleep,180,2015-11-13 04:33:30,2015-11-13 04:36:30
